,C,gamma,Accuracy
0,0.1,0.001,0.8400000000000001
1,0.1,0.0021544346900318843,0.8400000000000001
2,0.1,0.004641588833612777,0.8400000000000001
3,0.1,0.01,0.8266666666666665
4,0.1,0.021544346900318832,0.8266666666666665
5,0.1,0.046415888336127774,0.8266666666666665
6,0.1,0.1,0.8466666666666667
7,0.1,0.21544346900318823,0.8800000000000001
8,0.1,0.46415888336127775,0.9133333333333333
9,0.1,1.0,0.9466666666666667
10,0.16681005372000587,0.001,0.8400000000000001
11,0.16681005372000587,0.0021544346900318843,0.8400000000000001
12,0.16681005372000587,0.004641588833612777,0.8400000000000001
13,0.16681005372000587,0.01,0.8266666666666665
14,0.16681005372000587,0.021544346900318832,0.8266666666666665
15,0.16681005372000587,0.046415888336127774,0.86
16,0.16681005372000587,0.1,0.86
17,0.16681005372000587,0.21544346900318823,0.9133333333333333
18,0.16681005372000587,0.46415888336127775,0.9466666666666667
19,0.16681005372000587,1.0,0.9533333333333334
20,0.2782559402207124,0.001,0.8400000000000001
21,0.2782559402207124,0.0021544346900318843,0.8400000000000001
22,0.2782559402207124,0.004641588833612777,0.8400000000000001
23,0.2782559402207124,0.01,0.8266666666666665
24,0.2782559402207124,0.021544346900318832,0.86
25,0.2782559402207124,0.046415888336127774,0.8733333333333334
26,0.2782559402207124,0.1,0.9066666666666666
27,0.2782559402207124,0.21544346900318823,0.9400000000000001
28,0.2782559402207124,0.46415888336127775,0.9533333333333335
29,0.2782559402207124,1.0,0.96
30,0.46415888336127786,0.001,0.8400000000000001
31,0.46415888336127786,0.0021544346900318843,0.8400000000000001
32,0.46415888336127786,0.004641588833612777,0.8400000000000001
33,0.46415888336127786,0.01,0.8466666666666667
34,0.46415888336127786,0.021544346900318832,0.8666666666666666
35,0.46415888336127786,0.046415888336127774,0.9066666666666666
36,0.46415888336127786,0.1,0.9466666666666667
37,0.46415888336127786,0.21544346900318823,0.9533333333333335
38,0.46415888336127786,0.46415888336127775,0.9533333333333334
39,0.46415888336127786,1.0,0.96
40,0.774263682681127,0.001,0.8400000000000001
41,0.774263682681127,0.0021544346900318843,0.8400000000000001
42,0.774263682681127,0.004641588833612777,0.8466666666666667
43,0.774263682681127,0.01,0.86
44,0.774263682681127,0.021544346900318832,0.9
45,0.774263682681127,0.046415888336127774,0.9466666666666667
46,0.774263682681127,0.1,0.9666666666666668
47,0.774263682681127,0.21544346900318823,0.9666666666666668
48,0.774263682681127,0.46415888336127775,0.9466666666666667
49,0.774263682681127,1.0,0.9466666666666667
50,1.291549665014884,0.001,0.8400000000000001
51,1.291549665014884,0.0021544346900318843,0.8400000000000001
52,1.291549665014884,0.004641588833612777,0.8533333333333333
53,1.291549665014884,0.01,0.8733333333333334
54,1.291549665014884,0.021544346900318832,0.9466666666666667
55,1.291549665014884,0.046415888336127774,0.9600000000000002
56,1.291549665014884,0.1,0.9666666666666668
57,1.291549665014884,0.21544346900318823,0.9666666666666668
58,1.291549665014884,0.46415888336127775,0.9533333333333335
59,1.291549665014884,1.0,0.9400000000000001
60,2.1544346900318834,0.001,0.8400000000000001
61,2.1544346900318834,0.0021544346900318843,0.8533333333333333
62,2.1544346900318834,0.004641588833612777,0.8666666666666666
63,2.1544346900318834,0.01,0.9133333333333333
64,2.1544346900318834,0.021544346900318832,0.9533333333333335
65,2.1544346900318834,0.046415888336127774,0.9666666666666668
66,2.1544346900318834,0.1,0.9666666666666668
67,2.1544346900318834,0.21544346900318823,0.9533333333333334
68,2.1544346900318834,0.46415888336127775,0.9400000000000001
69,2.1544346900318834,1.0,0.9400000000000001
70,3.593813663804626,0.001,0.8466666666666667
71,3.593813663804626,0.0021544346900318843,0.86
72,3.593813663804626,0.004641588833612777,0.9
73,3.593813663804626,0.01,0.9466666666666667
74,3.593813663804626,0.021544346900318832,0.9733333333333334
75,3.593813663804626,0.046415888336127774,0.96
76,3.593813663804626,0.1,0.96
77,3.593813663804626,0.21544346900318823,0.9533333333333334
78,3.593813663804626,0.46415888336127775,0.9466666666666667
79,3.593813663804626,1.0,0.9266666666666667
80,5.994842503189409,0.001,0.8466666666666667
81,5.994842503189409,0.0021544346900318843,0.8733333333333334
82,5.994842503189409,0.004641588833612777,0.9466666666666667
83,5.994842503189409,0.01,0.9600000000000002
84,5.994842503189409,0.021544346900318832,0.96
85,5.994842503189409,0.046415888336127774,0.96
86,5.994842503189409,0.1,0.96
87,5.994842503189409,0.21544346900318823,0.9400000000000001
88,5.994842503189409,0.46415888336127775,0.9400000000000001
89,5.994842503189409,1.0,0.9400000000000001
90,10.0,0.001,0.8733333333333334
91,10.0,0.0021544346900318843,0.9199999999999999
92,10.0,0.004641588833612777,0.9533333333333335
93,10.0,0.01,0.9666666666666666
94,10.0,0.021544346900318832,0.9666666666666668
95,10.0,0.046415888336127774,0.9666666666666668
96,10.0,0.1,0.9466666666666667
97,10.0,0.21544346900318823,0.9400000000000001
98,10.0,0.46415888336127775,0.9466666666666667
99,10.0,1.0,0.9400000000000001
